Date,Open,High,Low,Close,Adj Close,Volume
2020-04-24,20.493999,20.750000,17.600000,19.350000,19.350000,11444900
2020-04-27,22.360001,22.500000,19.500000,19.520000,19.520000,9594200
2020-04-28,19.860001,19.900000,18.000000,18.240000,18.240000,5725700
2020-04-29,18.350000,19.799999,18.350000,19.400000,19.400000,3649400
2020-04-30,19.500000,19.850000,18.879999,19.459999,19.459999,3974800
2020-05-01,19.389999,20.350000,19.010000,20.120001,20.120001,5242400
2020-05-04,20.360001,21.780001,19.950001,20.990000,20.990000,6358100
2020-05-05,21.940001,22.120001,21.150000,21.610001,21.610001,4574100
2020-05-06,21.940001,24.480000,21.750000,23.830000,23.830000,9025000
2020-05-07,24.299999,26.850000,23.040001,23.510000,23.510000,13208900
2020-05-08,24.350000,24.750000,23.177999,23.450001,23.450001,5204200
2020-05-11,23.520000,25.160000,23.500000,24.459999,24.459999,7682400
2020-05-12,26.150000,28.150000,24.799999,26.299999,26.299999,17382300
2020-05-13,27.440001,27.950001,23.500000,25.855000,25.855000,14175800
2020-05-14,26.850000,27.250000,25.020000,25.309999,25.309999,12180000
2020-05-15,25.889999,29.400000,25.350000,29.230000,29.230000,24708100
2020-05-18,31.700001,31.780001,28.500000,29.549999,29.549999,17325200
2020-05-19,29.540001,30.410000,28.230000,29.570000,29.570000,8694000
2020-05-20,30.190001,30.997000,29.549999,29.690001,29.690001,5879000
2020-05-21,29.850000,29.889999,27.530001,28.549999,28.549999,7661200
2020-05-22,28.469999,29.480000,27.559999,29.110001,29.110001,6474800
2020-05-26,30.500000,33.500000,29.660000,33.389999,33.389999,11200600
2020-05-27,34.459999,35.650002,31.990000,35.150002,35.150002,15697100
2020-05-28,35.709999,39.599998,34.619999,37.250000,37.250000,23177600
2020-05-29,37.000000,39.869999,36.650002,39.700001,39.700001,14948900
2020-06-01,40.740002,43.980000,40.009998,43.700001,43.700001,20525200
2020-06-02,44.540001,44.790001,39.799999,41.270000,41.270000,27807800
2020-06-03,41.509998,42.480000,38.549999,40.160000,40.160000,20005600
2020-06-04,39.009998,42.474998,38.799999,40.529999,40.529999,14722200
2020-06-05,41.529999,41.590000,39.060001,39.340000,39.340000,9699500
2020-06-08,39.930000,39.930000,35.549999,38.000000,38.000000,15237000
2020-06-09,37.799999,40.599998,37.180000,39.410000,39.410000,8798500
2020-06-10,40.060001,40.799999,38.389999,39.110001,39.110001,7110000
2020-06-11,36.259998,38.200001,35.250000,36.279999,36.279999,9994100
2020-06-12,37.889999,38.400002,35.709999,36.880001,36.880001,8143000
2020-06-15,35.650002,41.790001,35.500000,41.790001,41.790001,17166500
2020-06-16,40.959999,41.799999,39.099998,40.570000,40.570000,11135200
2020-06-17,38.680000,42.080002,38.500000,40.720001,40.720001,18133000
2020-06-18,39.889999,42.799999,39.759998,40.840000,40.840000,15449800
2020-06-19,41.599998,42.529999,39.889999,42.000000,42.000000,46279500
2020-06-22,42.959999,43.750000,38.130001,38.255001,38.255001,29652100
2020-06-23,39.750000,40.533001,37.770000,37.990002,37.990002,20096900
2020-06-24,37.950001,39.330002,36.500000,37.560001,37.560001,12890300
2020-06-25,37.000000,37.070000,34.220001,36.070000,36.070000,18711400
2020-06-26,36.820000,36.820000,32.669998,33.340000,33.340000,24395600
2020-06-29,33.160000,34.380001,30.820000,33.540001,33.540001,20055500
2020-06-30,33.060001,34.650002,32.340000,33.259998,33.259998,13638000
2020-07-01,34.060001,35.150002,33.279999,33.869999,33.869999,13891600
2020-07-02,34.610001,35.049999,32.849998,33.060001,33.060001,9233100
2020-07-06,33.730000,33.980000,32.160000,32.419998,32.419998,9790300
2020-07-07,31.704000,32.299999,30.450001,30.600000,30.600000,10303900
2020-07-08,30.750000,33.360001,30.559999,33.099998,33.099998,11022300
2020-07-09,33.830002,34.240002,31.850000,32.820000,32.820000,7927300
2020-07-10,32.410000,33.099998,31.760000,32.430000,32.430000,5215800
2020-07-13,32.549999,32.869999,29.330000,29.500000,29.500000,11732400
2020-07-14,29.000000,30.400000,27.540001,30.215000,30.215000,13161000
2020-07-15,31.150000,32.959999,30.799999,32.560001,32.560001,11668800
